INSTNM,STABBR,LATITUDE,LONGITUDE,ICLEVEL
Oxnard College,CA,34.166104,-119.157604,2
Hope International University,CA,33.87616,-117.88573000000001,1
Concorde Career College-San Diego,CA,32.702814000000004,-117.102845,2
Palo Alto University,CA,37.382216,-122.18743700000002,1
Pacific Oaks College,CA,34.153382,-118.151323,1
Pacific States University,CA,34.061315,-118.29840800000001,1
Pacific Union College,CA,38.570584999999994,-122.440308,1
University of the Pacific,CA,37.981424,-121.312301,1
Palo Verde College,CA,33.661538,-114.651698,2
Palomar College,CA,33.149483000000004,-117.183978,2
Pasadena City College,CA,34.144552000000004,-118.118196,2
Pepperdine University,CA,34.037786,-118.707077,1
Pitzer College,CA,34.104107,-117.706675,1
Platt College-San Diego,CA,32.763729999999995,-117.063483,1
Point Loma Nazarene University,CA,32.718391,-117.25026499999998,1
Pomona College,CA,34.099027,-117.714556,1
Porterville College,CA,36.049256,-119.01436799999999,2
Professional Institute of Beauty,CA,34.075561,-118.039028,3
Santa Ana College,CA,33.759309,-117.88755800000001,1
Shasta School of Cosmetology,CA,40.59711400000001,-122.387248,3
University of Redlands,CA,34.064218,-117.163218,1
College of the Redwoods,CA,40.698427,-124.19529299999999,2
Salon Success Academy-Upland,CA,34.108247,-117.63178300000001,3
Salon Success Academy-Corona,CA,33.847649,-117.53563799999999,3
Rio Hondo College,CA,34.019821,-118.033506,1
Riverside City College,CA,33.970918,-117.384323,2
Argosy University-San Francisco Bay Area,CA,37.781238,-122.267523,1
Rosemead Beauty School,CA,34.080756,-118.082793,3
Sacramento City College,CA,38.541096,-121.49113899999999,2
Saddleback College,CA,33.553346000000005,-117.66558400000001,2
Samuel Merritt University,CA,37.82029,-122.26633100000001,1
San Diego City College,CA,32.717403000000004,-117.15273300000001,2
Golf Academy of America-San Diego,CA,33.12291,-117.283394,2
San Diego Mesa College,CA,32.803825,-117.16916499999999,1
San Diego Miramar College,CA,32.909757,-117.12026100000001,2
San Diego State University,CA,32.77525,-117.071228,1
University of San Diego,CA,32.770815999999996,-117.192073,1
San Francisco Art Institute,CA,37.803575,-122.417,1
San Francisco Conservatory of Music,CA,37.775543,-122.42029199999999,1
San Francisco State University,CA,37.721224,-122.476799,1
University of San Francisco,CA,37.776618,-122.450477,1
San Joaquin Delta College,CA,37.995129,-121.318266,2
San Joaquin Valley College-Visalia,CA,36.328049,-119.38498100000001,1
William Jessup University,CA,38.81972800000001,-121.29231200000001,1
San Jose City College,CA,37.315827,-121.926185,2
San Jose State University,CA,37.336569,-121.88062099999999,1
College of San Mateo,CA,37.535698,-122.334801,2
Santa Barbara Business College-Bakersfield,CA,35.359544,-119.061264,1
Santa Barbara Business College-Santa Maria,CA,34.937806,-120.433296,1
Santa Barbara City College,CA,34.406788,-119.698045,2
Santa Clara University,CA,37.348362,-121.93784,1
Santa Monica College,CA,34.017022,-118.469765,1
Santa Rosa Junior College,CA,38.45709,-122.718974,2
Scripps College,CA,34.104147,-117.711294,1
College of the Sequoias,CA,36.323877,-119.31518200000001,2
Shasta Bible College and Graduate School,CA,40.566034,-122.314419,1
Shasta College,CA,40.625731,-122.317982,1
Sierra College,CA,38.790773,-121.211688,2
Sierra College of Beauty,CA,37.306975,-120.495874,3
Simpson University,CA,40.61334,-122.332981,1
College of the Siskiyous,CA,41.413005,-122.38909,2
Charles A Jones Career and Education Center,CA,38.516233,-121.44079599999999,2
Skyline College,CA,37.63042,-122.467335,1
San Bernardino Valley College,CA,34.086353,-117.313248,2
Saint Mary's College of California,CA,37.840731,-122.109031,1
Solano Community College,CA,38.235881,-122.122368,1
Sonoma State University,CA,38.340274,-122.677066,1
South Baylo University,CA,33.848216,-117.958727,1
South Coast College,CA,33.78818,-117.874031,2
Vanguard University of Southern California,CA,33.662686,-117.90091100000001,1
Concorde Career College-Garden Grove,CA,33.774741,-117.938395,2
Southwestern College,CA,32.640281,-116.996803,2
Southern California Institute of Architecture,CA,34.044215,-118.232799,1
University of Southern California,CA,34.021281,-118.28416899999999,1
Taft College,CA,35.149343,-119.459751,2
Thomas Aquinas College,CA,34.429009,-119.08714099999999,1
Epic Bible College,CA,38.645152,-121.362642,1
United Education Institute-Huntington Park Campus,CA,33.986057,-118.226206,3
Concorde Career College-San Bernardino,CA,34.066823,-117.28399499999999,2
Concorde Career College-North Hollywood,CA,34.186407,-118.403627,2
Ventura College,CA,34.277393,-119.230604,2
Victor Valley College,CA,34.472231,-117.26145600000001,2
Berkeley City College,CA,37.869769,-122.26987700000001,2
Walden University,MN,44.98125,-93.265738,1
Waynes College of Beauty,CA,36.700635,-121.652672,3
West Hills College-Coalinga,CA,36.147890999999994,-120.356747,2
West Los Angeles College,CA,34.004512,-118.386664,1
West Valley College,CA,37.26398,-122.008324,2
Carrington College-Sacramento,CA,38.556151,-121.37133100000001,2
Westmont College,CA,34.450151,-119.662517,1
Whittier College,CA,33.978773,-118.032299,1
Woodbury University,CA,34.208011,-118.34114699999999,1
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,34.085465,-118.34661299999999,1
Yuba College,CA,39.126536,-121.53963999999999,2
The Salon Professional Academy-Grand Junction,CO,39.078114,-108.56521000000001,2
Adams State University,CO,37.473636,-105.87964199999999,1
Aims Community College,CO,40.409559,-104.76341500000001,2
Arapahoe Community College,CO,39.607504999999996,-105.018631,2
Bel-Rea Institute of Animal Technology,CO,39.686194,-104.87620700000001,2
